tls_version,cipher_suite,cert_length,handshake_type,packet_length,time_delta,anomaly
0x0303,0x1302,0,1,633,1770313059.552753,Normal
0x0303,0x1302,0,2,1354,1770313061.142009,Normal
0x0303,0x8a8a,0,1,1969,1770313064.257599,Normal
0x0303,0x8a8a,0,1,2302,1770313064.258425,MITM Suspected
0x0303,0x1301,0,2,1354,1770313065.387262,Normal
0x0303,0x1301,0,2,1298,1770313065.443903,Normal
0x0303,0xbaba,0,1,1831,1770313083.989338,Normal
0x0303,0xbaba,0,1,2262,1770313084.892201,MITM Suspected
0x0303,0x1301,0,2,1294,1770313085.101953,Normal
0x0303,0x1301,0,2,322,1770313086.006042,Normal
0x0303,0xcaca,0,1,1899,1770313086.794608,Normal
0x0303,0x1301,0,2,1354,1770313088.341194,Normal
0x0303,0x8a8a,0,1,2094,1770313092.516457,Normal
0x0303,0x4a4a,0,1,2132,1770313093.486159,Normal
0x0303,0x1301,0,2,1354,1770313093.504468,Normal
0x0303,0x7a7a,0,1,1877,1770313093.712729,Normal
0x0303,0x1a1a,0,1,2062,1770313094.054349,Normal
0x0303,0xfafa,0,1,2100,1770313094.054978,Normal
0x0303,0x1301,0,2,1374,1770313094.498174,Normal
0x0303,0x1301,0,2,1374,1770313094.755381,Normal
0x0303,0x1301,0,2,1354,1770313095.331896,Normal
0x0303,0x1301,0,2,1374,1770313095.332304,Normal
0x0303,0xcaca,0,1,1793,1770313098.652049,Normal
0x0303,0x2a2a,0,1,1889,1770313098.653221,Normal
0x0303,0xcaca,0,1,1862,1770313098.776194,Normal
0x0303,0xbaba,0,1,1900,1770313099.142329,Normal
0x0303,0x8a8a,0,1,1836,1770313099.351355,Normal
0x0303,0x1302,0,2,1354,1770313099.430782,Normal
0x0303,0x1302,0,2,1354,1770313099.430782,Normal
0x0303,0x7a7a,0,1,1836,1770313099.461656,Normal
0x0303,0x1301,0,2,1354,1770313099.540934,Normal
0x0303,0x1301,0,2,1354,1770313100.224793,Normal
0x0303,0x1301,0,2,1354,1770313100.542348,Normal
0x0303,0x1301,0,2,1354,1770313100.621236,Normal
0x0303,0x8a8a,0,1,1802,1770313102.458859,Normal
0x0303,0x1301,0,2,1374,1770313103.250815,Normal
0x0303,0x7a7a,0,1,1782,1770313103.582058,Normal
0x0303,0x1301,0,2,1354,1770313106.37106,Normal
0x0303,0x8a8a,0,1,1911,1770313129.091625,Normal
0x0303,0x1302,0,2,1294,1770313130.411661,Normal
0x0303,0x2a2a,0,1,1868,1770313130.414222,Normal
0x0303,0x1301,0,2,1294,1770313131.63548,Normal
0x0303,0xc02c,0,1,271,1770313134.656057,Normal
0x0303,0xc02c,0,2,1374,1770313135.891162,Normal
0,0,6947,11,1374,1770313135.932286,MITM Suspected
0,0,0,22,274,1770313135.932286,Normal
0,0,0,16,200,1770313135.952342,Normal
0,0,0,4,364,1770313137.249708,Normal
0x0303,0xfafa,0,1,1808,1770313138.778833,Normal
0x0303,0x1301,0,2,1294,1770313140.348886,Normal
0x0303,0x1302,0,1,857,1770313144.950888,MITM Suspected
0x0303,0xdada,0,1,1804,1770313146.113129,Normal
0x0303,0x1302,0,2,338,1770313146.550525,Normal
0x0303,0x1301,0,2,1294,1770313150.176914,Normal
0x0303,0x0a0a,0,1,1859,1770313150.970469,Normal
0x0303,0xbaba,0,1,1839,1770313151.026089,Normal
0x0303,0x1302,0,2,1354,1770313151.900599,Normal
0x0303,0x1301,0,2,1298,1770313152.463115,Normal
0x0303,0x2a2a,0,1,1862,1770313154.155738,Normal
0x0303,0x8a8a,0,1,1891,1770313154.454286,Normal
0x0303,0x1302,0,2,1374,1770313154.669163,Normal
0x0303,0xaaaa,0,1,1875,1770313154.851753,Normal
0x0303,0x1302,0,2,1374,1770313154.97193,Normal
0x0303,0x1302,0,2,1374,1770313155.32989,Normal
0x0303,0xaaaa,0,1,1892,1770313157.591843,Normal
0x0303,0x3a3a,0,1,1896,1770313157.678846,Normal
0x0303,0x2a2a,0,1,1872,1770313157.949303,Normal
0x0303,0x1301,0,2,1294,1770313158.298673,Normal
0x0303,0x1302,0,2,1334,1770313158.712411,Normal
0x0303,0x1302,0,2,1374,1770313159.245353,Normal
0x0303,0xaaaa,0,1,1791,1770313159.346507,Normal
0x0303,0x1301,0,2,1354,1770313160.140544,Normal
0x0303,0xc02c,0,1,271,1770313162.813362,Normal
0x0303,0xc02c,0,2,1374,1770313164.795753,Normal
0,0,6947,11,1374,1770313164.957142,MITM Suspected
0,0,0,22,273,1770313164.957142,Normal
0,0,0,16,200,1770313164.962368,Normal
0x0303,0xcaca,0,1,1899,1770313166.293731,Normal
0,0,0,4,364,1770313166.330576,Normal
0x0303,0x1302,0,2,1374,1770313167.549929,Normal
0x0303,0xcaca,0,1,2126,1770313167.553252,Normal
0x0303,0x0a0a,0,1,1903,1770313167.821048,Normal
0x0303,0xeaea,0,1,1871,1770313167.821642,Normal
0x0303,0x5a5a,0,1,1839,1770313167.822151,Normal
0x0303,0xcaca,0,1,1807,1770313167.85324,Normal
0x0303,0x7a7a,0,1,1903,1770313167.873768,Normal
0x0303,0x1301,0,2,1354,1770313169.043288,Normal
0x0303,0x1301,0,2,1354,1770313169.540955,Normal
0x0303,0x1301,0,2,1354,1770313170.344214,Normal
0x0303,0x1301,0,2,1354,1770313170.344214,Normal
0x0303,0x1301,0,2,1354,1770313170.375908,Normal
0x0303,0x3a3a,0,1,1937,1770313170.977435,Normal
0x0303,0x1a1a,0,1,1905,1770313171.304668,Normal
0x0303,0x9a9a,0,1,1890,1770313171.305425,Normal
0x0303,0x1301,0,2,1354,1770313171.741462,Normal
0x0303,0xcaca,0,1,2094,1770313172.090346,Normal
0x0303,0x1301,0,2,1354,1770313172.29962,Normal
0x0303,0x8a8a,0,1,1941,1770313172.306228,Normal
0x0303,0x1301,0,2,1354,1770313172.70698,Normal
0x0303,0x1301,0,2,1354,1770313172.70698,Normal
0x0303,0x1301,0,2,1354,1770313173.770464,Normal
0x0303,0xbaba,0,1,2068,1770313174.545283,Normal
0x0303,0x1301,0,2,1374,1770313175.851655,Normal
0x0303,0xaaaa,0,1,1819,1770313197.661027,Normal
0x0303,0x3a3a,0,1,1915,1770313197.823541,Normal
0x0303,0x1302,0,2,173,1770313199.222375,Normal
0x0303,0xaaaa,0,1,665,1770313199.224346,Normal
0x0303,0x1302,0,2,173,1770313199.415326,Normal
0x0303,0x3a3a,0,1,761,1770313199.417376,Normal
